"","Personnel.Number","Gender","Hire.Date","Exit.Date","Exit.Reason","Cost.Center","Employee.Group","Employee.Subgroup","Location.Code","Employment.Days","Currently.Employed","Lasted.6.Months","Lasted.1.Year","Lasted.2.Years","Lasted.3.Years","Lasted.4.Years","Lasted.5.Years"
"6721","60046320","Male",2012-06-04,NA,NA,"200-5019","Employee","Salary Grade Less 12","1016",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6722","60046321","Female",2012-06-11,NA,NA,"164351","Employee","Salary Grade Less 12","1062",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6723","60046322","Male",2012-06-11,NA,NA,"205-J142","Employee","Salary Grade Less 12","1032",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6724","60046323","Male",2012-06-11,NA,NA,"205-J134","Employee","Nonexempt","1019",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6725","60046324","Male",2012-06-13,NA,NA,"1862177","Employee","Hourly","1006",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6726","60046331","Male",2012-06-18,NA,NA,"214-822","Employee","Salary Grade 12","1023",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6727","60046335","Female",2012-06-18,NA,NA,"200-Z001","Employee","Nonexempt","1032",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6728","60046339","Female",2012-06-25,NA,NA,"57-6220","Employee","Salary Grade Less 12","1009",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6729","60046341","Male",2012-06-25,NA,NA,"164455","Employee","Salary Grade Less 12","1062",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6730","60046344","Male",2012-06-27,NA,NA,"214-K073","Employee","Hourly","1023",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6731","60046352","Female",2012-06-29,NA,NA,"214-967","Employee","Hourly","1023",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6732","60046354","Male",2013-08-13,NA,NA,"1862177","Employee","Hourly","1006",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
"6733","60046357","Male",2002-09-02,NA,NA,"205-B811","Employee","Salary Grade 12","1032",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6734","60046361","Male",2003-08-04,NA,NA,"57-3409","Employee","Salary Grade Less 12","1009",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6735","60046364","Male",2012-07-09,NA,NA,"54-3670","Employee","Nonexempt","1015",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6736","60046365","Male",2012-07-10,NA,NA,"214-K046","Employee","Salary Grade Less 12","1023",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6737","60046369","Female",2012-07-09,NA,NA,"164473","Employee","Salary Grade Less 12","1062",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6738","60046370","Male",2012-07-09,NA,NA,"205-J140","Employee","Salary Grade Less 12","1032",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6739","60046372","Male",2012-07-09,NA,NA,"1862177","Employee","Nonexempt","1006",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6740","60046373","Male",2012-07-09,NA,NA,"1862177","Employee","Hourly","1006",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6741","60046374","Male",2012-07-10,NA,NA,"1862177","Employee","Hourly","1006",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6742","60046375","Male",2012-07-10,NA,NA,"1862177","Employee","Hourly","1006",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6743","60046376","Male",2002-06-03,NA,NA,"205-P936","Employee","Executive","1019",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6744","60046377","Male",2012-07-10,NA,NA,"1862177","Employee","Hourly","1006",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6745","60046381","Male",2012-07-09,NA,NA,"205-B971","Employee","Salary Grade Less 12","1032",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6746","60046389","Male",2012-07-16,NA,NA,"54-3300","Employee","Salary Grade 12","1015",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6747","60046392","Male",2012-07-16,NA,NA,"2264201","Employee","Salary Grade 12","1062",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6748","60046393","Female",2012-07-19,NA,NA,"214-K045","Employee","Hourly","1023",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6749","60046394","Male",2012-07-23,NA,NA,"57-6202","Employee","Nonexempt","1009",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6750","60046395","Female",2012-07-23,NA,NA,"205-P717","Employee","Nonexempt","1019",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6751","60046396","Female",2012-07-23,NA,NA,"57-6202","Employee","Nonexempt","1009",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6752","60046398","Male",2012-07-23,NA,NA,"1862177","Employee","Nonexempt","1006",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6753","60046399","Female",2012-07-23,NA,NA,"200-5021","Employee","Salary Grade Less 12","1016",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6754","60046400","Male",2012-07-23,NA,NA,"101-2461","Employee","Salary Grade Less 12","0701",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6755","60046402","Male",2012-07-23,NA,NA,"1764461","Employee","Salary Grade Less 12","1062",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6756","60046404","Male",2012-07-23,NA,NA,"205-A905","Employee","Nonexempt","1018",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6757","60046408","Male",2012-07-24,NA,NA,"1862177","Employee","Hourly","1006",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6758","60046411","Male",2011-03-07,NA,NA,"205-J134","Employee","Salary Grade Less 12","1019",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6759","60046414","Male",2012-07-30,NA,NA,"205-B879","Employee","Salary Grade Less 12","1032",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6760","60046415","Male",2012-07-30,NA,NA,"2264501","Employee","Nonexempt","1062",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6761","60046416","Male",2012-08-01,NA,NA,"214-K061","Employee","Hourly","1023",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6762","60046417","Male",2012-07-30,NA,NA,"164473","Employee","Salary Grade Less 12","1062",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6763","60046418","Male",2012-07-30,NA,NA,"164459","Employee","Nonexempt","1066",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6764","60046422","Male",2012-08-06,NA,NA,"564700","Employee","Executive","1062",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6765","60046424","Female",2012-08-06,NA,NA,"54-1202","Employee","Hourly","1015",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6766","60046426","Male",2012-08-06,NA,NA,"54-1202","Employee","Hourly","1015",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6767","60046428","Female",2012-08-06,NA,NA,"54-1202","Employee","Hourly","1015",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6768","60046430","Male",2012-08-06,NA,NA,"54-1202","Employee","Hourly","1015",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6769","60046431","Male",2012-08-06,NA,NA,"54-1202","Employee","Hourly","1015",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6770","60046432","Female",2012-08-06,NA,NA,"214-218","Employee","Salary Grade Less 12","1023",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6771","60046433","Male",2012-08-06,NA,NA,"VDO-GUAD","Expatriate","Salary Grade Less 12","1062",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6772","60046434","Female",2012-08-07,NA,NA,"1862177","Employee","Hourly","1006",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6773","60046435","Female",2012-08-07,NA,NA,"1862177","Employee","Hourly","1006",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6774","60046437","Female",2012-08-07,NA,NA,"1862177","Employee","Hourly","1006",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6775","60046438","Female",2012-08-07,NA,NA,"1862177","Employee","Hourly","1006",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6776","60046442","Male",2012-08-07,NA,NA,"1862177","Employee","Hourly","1006",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6777","60046444","Male",2012-08-07,NA,NA,"1862177","Employee","Hourly","1006",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6778","60046445","Male",2012-08-07,NA,NA,"1862177","Employee","Hourly","1006",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6779","60046447","Male",2012-08-08,NA,NA,"1862177","Employee","Hourly","1006",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6780","60046448","Male",2012-08-08,NA,NA,"1862177","Employee","Hourly","1006",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6781","60046451","Male",2012-08-08,NA,NA,"1862177","Employee","Hourly","1006",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6782","60046454","Male",2012-08-13,NA,NA,"3064499","Employee","Salary Grade Less 12","1067",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6783","60046455","Female",2012-08-15,NA,NA,"2264338","Employee","Salary Grade Less 12","1062",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6784","60046460","Male",2012-08-17,NA,NA,"161351","Employee","Salary Grade Less 12","1011",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
