"","Personnel.Number","Gender","Hire.Date","Exit.Date","Exit.Reason","Cost.Center","Employee.Group","Employee.Subgroup","Location.Code","Employment.Days","Currently.Employed","Lasted.6.Months","Lasted.1.Year","Lasted.2.Years","Lasted.3.Years","Lasted.4.Years","Lasted.5.Years"
"1","60000003","Male",1976-08-01,NA,NA,"98051","Employee","Salary Grade 12","1027",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"2","60000005","Male",2016-01-01,NA,NA,"98053","Employee","Hourly","1028",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"3","60000006","Male",1996-01-02,NA,NA,"98053","Employee","Salary Grade Less 12","1028",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4","60000007","Male",1989-09-04,NA,NA,"98052","Employee","Salary Grade 12","1027",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"5","60000008","Female",2005-11-03,NA,NA,"98052","Employee","Hourly","1026",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6","60000009","Male",2013-10-09,NA,NA,"98651","Employee","Hourly","1027",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
"7","60000010","Male",2011-04-14,NA,NA,"98052","Employee","Salary Grade Less 12","1026",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"8","60000011","Male",2014-10-27,NA,NA,"98653","Employee","Hourly","1028",NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA
"9","60000012","Male",2010-04-01,NA,NA,"98053","Employee","Salary Grade Less 12","1028",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"10","60000013","Male",2011-07-21,NA,NA,"98053","Employee","Hourly","1028",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"11","60000014","Male",2004-04-23,NA,NA,"98052","Employee","Salary Grade Less 12","1026",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"12","60000016","Male",1997-03-17,NA,NA,"98651","Employee","Hourly","1027",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"13","60000017","Male",1989-09-04,NA,NA,"98051","Employee","Salary Grade 12","1026",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"14","60000018","Male",2009-09-14,NA,NA,"98052","Employee","Salary Grade Less 12","1026",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"15","60000019","Male",2015-02-07,NA,NA,"98052","Employee","Salary Grade Less 12","1026",NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA
"16","60000023","Male",2009-09-01,NA,NA,"98052","Employee","Hourly","1026",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"17","60000024","Male",2014-06-16,NA,NA,"98055","Employee","Salary Grade Less 12","1029",NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA
"18","60000025","Male",2011-04-21,NA,NA,"98051","Employee","Hourly","1027",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"19","60000026","Male",2005-06-29,NA,NA,"98651","Employee","Hourly","1027",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"20","60000027","Male",2008-02-19,NA,NA,"98651","Employee","Hourly","1027",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"21","60000032","Male",2011-09-09,NA,NA,"98051","Employee","Hourly","1027",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"22","60000037","Male",2014-07-16,NA,NA,"98055","Employee","Salary Grade Less 12","1029",NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA
"23","60000042","Male",2005-01-03,NA,NA,"98653","Employee","Salary Grade Less 12","1027",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"24","60000044","Male",2010-02-05,NA,NA,"98052","Employee","Hourly","1026",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"25","60000045","Male",2013-09-03,NA,NA,"98051","Employee","Hourly","1027",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
"26","60000046","Male",1999-11-15,NA,NA,"98651","Employee","Hourly","1027",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"27","60000047","Male",2008-06-19,NA,NA,"98053","Employee","Salary Grade Less 12","1028",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"28","60000048","Male",2004-03-18,NA,NA,"98051","Employee","Hourly","1027",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"29","60000049","Male",2013-09-17,NA,NA,"98651","Employee","Hourly","1027",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
"30","60000051","Male",1983-04-08,NA,NA,"98051","Employee","Salary Grade 12","1027",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"31","60000056","Male",2009-05-01,NA,NA,"98052","Employee","Salary Grade Less 12","1026",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"32","60000057","Male",2010-06-17,NA,NA,"98055","Employee","Hourly","1029",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"33","60000059","Male",2016-05-12,NA,NA,"98055","Employee","Hourly","1029",NA,TRUE,TRUE,TRUE,NA,NA,NA,NA
"34","60000061","Male",2015-03-21,NA,NA,"98052","Employee","Hourly","1026",NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA
"35","60000063","Male",2007-04-27,NA,NA,"98051","Employee","Hourly","1027",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"36","60000064","Male",1982-06-14,NA,NA,"98651","Employee","Hourly","1027",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"37","60000065","Male",2009-08-13,NA,NA,"98651","Employee","Hourly","1027",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"38","60000066","Male",2012-01-11,NA,NA,"98053","Employee","Salary Grade Less 12","1028",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"39","60000067","Male",2015-10-26,NA,NA,"98052","Employee","Hourly","1026",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"40","60000069","Male",2009-08-27,NA,NA,"98651","Employee","Hourly","1027",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"41","60000070","Male",2013-04-10,NA,NA,"98054","Employee","Salary Grade Less 12","1022",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
"42","60000071","Male",2007-08-09,NA,NA,"98052","Employee","Hourly","1026",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"43","60000072","Male",2015-05-20,NA,NA,"98055","Employee","Hourly","1029",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"44","60000074","Male",2011-07-19,NA,NA,"98052","Employee","Hourly","1026",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"45","60000075","Male",2006-12-21,NA,NA,"98051","Employee","Hourly","1027",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"46","60000077","Male",2006-08-14,NA,NA,"98051","Employee","Hourly","1022",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"47","60000079","Male",2001-09-24,NA,NA,"98051","Employee","Salary Grade Less 12","1027",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"48","60000081","Male",2014-05-19,NA,NA,"98052","Employee","Hourly","1026",NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA
"49","60000082","Female",2012-10-01,NA,NA,"98051","Employee","Salary Grade Less 12","1027",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"50","60000084","Male",2005-03-22,NA,NA,"98051","Employee","Hourly","1022",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"51","60000086","Male",2006-06-15,NA,NA,"98055","Employee","Hourly","1029",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"52","60000087","Male",2016-01-01,NA,NA,"98051","Employee","Nonexempt","1027",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"53","60000088","Male",2005-02-24,NA,NA,"98653","Employee","Hourly","1028",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"54","60000089","Male",2007-02-22,NA,NA,"98051","Employee","Hourly","1027",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"55","60000090","Male",2014-05-21,NA,NA,"98051","Employee","Salary Grade Less 12","1027",NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA
"56","60000093","Male",2009-08-10,NA,NA,"98051","Employee","Hourly","1027",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"57","60000094","Male",2011-01-03,NA,NA,"98051","Employee","Salary Grade Less 12","1027",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"58","60000095","Male",2013-03-11,NA,NA,"98653","Employee","Hourly","1028",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"59","60000097","Male",2014-09-04,NA,NA,"98052","Employee","Hourly","1026",NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA
"60","60000101","Male",2011-12-29,NA,NA,"98054","Employee","Salary Grade Less 12","1022",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"61","60000102","Male",2015-12-21,NA,NA,"98053","Employee","Hourly","1028",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"62","60000103","Male",2015-06-03,NA,NA,"98053","Employee","Hourly","1028",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"63","60000106","Male",2015-12-17,NA,NA,"98653","Employee","Hourly","1028",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"64","60000109","Male",2004-08-05,NA,NA,"98055","Employee","Salary Grade Less 12","1027",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"65","60000110","Male",2001-09-09,NA,NA,"205-P634","Employee","Salary Grade 12","1019",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"66","60000112","Male",2014-01-06,NA,NA,"205-P634","Employee","Salary Grade Less 12","1019",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
"67","60000114","Female",2013-06-19,NA,NA,"205-P634","Employee","Nonexempt","1019",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
"68","60000115","Female",1982-05-19,NA,NA,"205-P634","Employee","Salary Grade Less 12","1019",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"69","60000116","Male",2001-03-22,NA,NA,"205-P634","Employee","Salary Grade 12","1019",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"70","60000118","Male",2016-01-04,NA,NA,"200-2006","Employee","Salary Grade Less 12","1016",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"71","60000120","Male",2016-01-04,NA,NA,"98004","Employee","Salary Grade Less 12","1039",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"72","60000121","Male",2016-01-04,NA,NA,"99173","Employee","Nonexempt","1106",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"73","60000122","Male",2016-01-01,NA,NA,"98052","Employee","Salary Grade Less 12","1012",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"74","60000123","Male",2016-01-11,NA,NA,"205-I614","Employee","Salary Grade Less 12","1075",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"75","60000127","Male",2017-01-10,NA,NA,"161159","Employee","Hourly","1011",NA,TRUE,TRUE,TRUE,NA,NA,NA,NA
"76","60000131","Male",2016-01-03,NA,NA,"99161","Employee","Salary Grade Less 12","1105",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"77","60000132","Male",2016-01-07,NA,NA,"214-K073","Employee","Nonexempt","1023",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"78","60000140","Male",2016-01-04,NA,NA,"99194","Employee","Salary Grade Less 12","1106",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"79","60000149","Male",2016-01-11,NA,NA,"70820","Employee","Salary Grade Less 12","1047",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"80","60000151","Male",2016-01-11,NA,NA,"70602","Employee","Nonexempt","1047",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"81","60000152","Female",2016-01-11,NA,NA,"80660","Employee","Hourly","1047",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"82","60000153","Female",2016-01-11,NA,NA,"80660","Employee","Hourly","1047",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"83","60000154","Female",2016-01-11,NA,NA,"70610","Employee","Nonexempt","1047",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"84","60000156","Female",2016-01-11,NA,NA,"99652","Employee","Nonexempt","1070",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"85","60000157","Female",2016-01-11,NA,NA,"99652","Employee","Nonexempt","1070",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"86","60000158","Male",2016-01-01,NA,NA,"203-7424","Employee","Salary Grade Less 12","1021",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"87","60000159","Male",2016-01-04,NA,NA,"12500","Employee","Salary Grade Less 12","1002",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"88","60000161","Male",2016-01-04,NA,NA,"2264331","Employee","Salary Grade Less 12","1062",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"89","60000162","Male",2016-01-04,NA,NA,"164455","Employee","Salary Grade Less 12","1062",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"90","60000163","Male",2016-01-04,NA,NA,"164455","Employee","Salary Grade Less 12","1062",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"91","60000164","Male",2016-01-04,NA,NA,"2264331","Employee","Salary Grade Less 12","1062",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"92","60000165","Male",2016-01-11,NA,NA,"99622","Employee","Salary Grade 12","1060",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"93","60000167","Male",2016-01-04,NA,NA,"1862177","Employee","Salary Grade Less 12","1006",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"94","60000170","Male",2016-01-11,NA,NA,"71040","Employee","Hourly","1047",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"95","60000171","Male",2016-01-11,NA,NA,"71020","Employee","Hourly","1047",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"96","60000172","Male",2016-01-04,NA,NA,"1862301","Employee","Salary Grade Less 12","1006",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"97","60000173","Male",2016-01-11,NA,NA,"12730","Employee","Hourly","1002",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"98","60000174","Male",2016-01-11,NA,NA,"12730","Employee","Hourly","1002",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"99","60000177","Male",2016-01-11,NA,NA,"161159","Employee","Nonexempt","1011",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"100","60000179","Male",2016-01-04,NA,NA,"2264331","Employee","Salary Grade Less 12","1062",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"101","60000181","Male",2016-01-04,NA,NA,"564911","Employee","Salary Grade Less 12","1062",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"102","60000183","Male",2016-01-04,NA,NA,"205-J081","Employee","Salary Grade Less 12","1018",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"103","60000185","Male",2016-01-18,NA,NA,"101-3980","Employee","Salary Grade 12","0701",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"104","60000187","Female",2007-01-07,NA,NA,"164473","Employee","Salary Grade Less 12","1062",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"105","60000188","Male",2016-01-11,NA,NA,"222-4000","Employee","Salary Grade Less 12","1093",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"106","60000189","Male",2016-01-11,NA,NA,"80660","Employee","Hourly","1047",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"107","60000190","Male",2016-01-04,NA,NA,"SW-6000","Employee","Salary Grade Less 12","1076",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"108","60000192","Male",2016-01-11,NA,NA,"161159","Employee","Salary Grade Less 12","1011",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"109","60000193","Male",2016-01-11,NA,NA,"80675","Employee","Hourly","1047",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"110","60000195","Male",2016-01-11,NA,NA,"71020","Employee","Hourly","1047",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"111","60000196","Male",2016-01-04,NA,NA,"57-6437","Employee","Salary Grade Less 12","1009",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"112","60000198","Male",2016-01-04,NA,NA,"57-6206","Employee","Salary Grade Less 12","1009",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"113","60000200","Male",2016-01-04,NA,NA,"57-8071","Employee","Salary Grade 12","1009",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"114","60000208","Male",2016-04-11,NA,NA,"12240","Employee","Hourly","1002",NA,TRUE,TRUE,TRUE,NA,NA,NA,NA
"115","60000210","Male",2016-06-06,NA,NA,"12240","Employee","Hourly","1002",NA,TRUE,TRUE,TRUE,NA,NA,NA,NA
"116","60000211","Male",2016-06-06,NA,NA,"12240","Employee","Hourly","1002",NA,TRUE,TRUE,TRUE,NA,NA,NA,NA
"117","60000215","Male",2016-01-04,NA,NA,"57-6121","Employee","Salary Grade Less 12","1009",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"118","60000223","Male",2016-01-03,NA,NA,"99155","Employee","Salary Grade Less 12","1105",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"119","60000226","Male",2016-01-11,NA,NA,"70610","Employee","Hourly","1047",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"120","60000227","Male",2016-01-11,NA,NA,"80640","Employee","Hourly","1047",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"121","60000228","Male",2016-01-11,NA,NA,"214-218","Employee","Salary Grade Less 12","1023",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"122","60000229","Male",2016-01-13,NA,NA,"1862177","Employee","Hourly","1006",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"123","60000231","Male",2016-01-19,NA,NA,"205-B879","Employee","Salary Grade Less 12","1032",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"124","60000232","Male",2016-01-19,NA,NA,"214-221","Employee","Salary Grade Less 12","1023",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"125","60000233","Male",2016-01-04,NA,NA,"205-P788","Employee","Salary Grade Less 12","1019",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"126","60000235","Male",2016-01-11,NA,NA,"70610","Employee","Hourly","1047",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"127","60000237","Female",2016-01-11,NA,NA,"80680","Employee","Hourly","1047",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"128","60000238","Female",2016-01-19,NA,NA,"164476","Employee","Salary Grade Less 12","1062",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"129","60000239","Male",2016-01-11,NA,NA,"70630","Employee","Hourly","1047",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"130","60000240","Male",2016-01-18,NA,NA,"12720","Employee","Salary Grade Less 12","1002",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"131","60000241","Female",2016-01-18,NA,NA,"12650","Employee","Nonexempt","1002",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"132","60000244","Male",2016-01-18,NA,NA,"12730","Employee","Salary Grade Less 12","1002",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"133","60000246","Male",2016-01-18,NA,NA,"12040","Employee","Hourly","1002",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"134","60000248","Male",2016-01-04,NA,NA,"12630","Employee","Salary Grade Less 12","1002",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"135","60000249","Female",2016-01-01,NA,NA,"12630","Employee","Salary Grade Less 12","1002",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"136","60000251","Male",2004-12-01,NA,NA,"222-4000","Inpatriate","Salary Grade 12","1093",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"137","60000253","Male",2011-02-01,NA,NA,"99966","Inpatriate","Salary Grade 12","1035",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"138","60000255","Male",2014-07-24,NA,NA,"99168","Inpatriate","Salary Grade 12","1105",NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA
"139","60000257","Male",2016-01-18,NA,NA,"98005","Employee","Nonexempt","1033",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"140","60000258","Female",2016-10-17,NA,NA,"12680","Employee","Salary Grade Less 12","1002",NA,TRUE,TRUE,TRUE,NA,NA,NA,NA
"141","60000259","Male",2016-01-04,NA,NA,"205-I816","Employee","Salary Grade Less 12","1018",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"142","60000261","Male",2012-02-03,NA,NA,"1764460","Employee","Salary Grade Less 12","1062",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"143","60000262","Male",2016-01-13,NA,NA,"1862177","Employee","Hourly","1006",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"144","60000269","Male",2016-01-25,NA,NA,"70610","Employee","Hourly","1047",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"145","60000277","Female",2016-05-26,NA,NA,"54-4362","Employee","Hourly","1015",NA,TRUE,TRUE,TRUE,NA,NA,NA,NA
"146","60000289","Male",2016-07-28,NA,NA,"54-4362","Employee","Hourly","1015",NA,TRUE,TRUE,TRUE,NA,NA,NA,NA
"147","60000300","Male",2016-01-25,NA,NA,"70620","Employee","Hourly","1047",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"148","60000310","Male",2016-08-30,NA,NA,"54-4362","Employee","Hourly","1015",NA,TRUE,TRUE,TRUE,NA,NA,NA,NA
"149","60000311","Male",2016-01-22,NA,NA,"214-K057","Employee","Hourly","1023",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"150","60000314","Female",2016-06-06,NA,NA,"12250","Employee","Nonexempt","1002",NA,TRUE,TRUE,TRUE,NA,NA,NA,NA
"151","60000317","Male",2016-06-06,NA,NA,"22020","Employee","Hourly","1002",NA,TRUE,TRUE,TRUE,NA,NA,NA,NA
"152","60000318","Male",2016-05-09,NA,NA,"12170","Employee","Hourly","1002",NA,TRUE,TRUE,TRUE,NA,NA,NA,NA
"153","60000319","Male",2016-04-11,NA,NA,"12170","Employee","Hourly","1002",NA,TRUE,TRUE,TRUE,NA,NA,NA,NA
"154","60000325","Male",2002-02-07,NA,NA,"99939","Inpatriate","Executive","1035",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"155","60000326","Male",2016-01-04,NA,NA,"54-3500","Employee","Salary Grade Less 12","1015",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"156","60000327","Female",2016-01-04,NA,NA,"54-3300","Employee","Salary Grade Less 12","1015",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"157","60000328","Female",2016-01-04,NA,NA,"54-0700","Employee","Salary Grade Less 12","1015",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"158","60000329","Male",2016-01-04,NA,NA,"54-3300","Employee","Salary Grade Less 12","1015",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"159","60000330","Male",2016-01-18,NA,NA,"54-3300","Employee","Salary Grade Less 12","1015",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"160","60000337","Male",2016-07-25,NA,NA,"12240","Employee","Hourly","1002",NA,TRUE,TRUE,TRUE,NA,NA,NA,NA
"161","60000350","Male",2016-01-13,NA,NA,"1862177","Employee","Hourly","1006",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"162","60000351","Male",2016-01-13,NA,NA,"1862177","Employee","Hourly","1006",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"163","60000352","Male",2016-01-22,NA,NA,"564449","Employee","Salary Grade 12","1062",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"164","60000354","Male",2016-01-25,NA,NA,"205-J081","Employee","Salary Grade Less 12","1018",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"165","60000360","Male",2016-10-10,NA,NA,"2301202050","Employee","Hourly","1008",NA,TRUE,TRUE,TRUE,NA,NA,NA,NA
"166","60000361","Female",2016-01-25,NA,NA,"70100","Employee","Nonexempt","1047",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"167","60000367","Male",2017-01-03,NA,NA,"2301202020","Employee","Hourly","1008",NA,TRUE,TRUE,TRUE,NA,NA,NA,NA
"168","60000370","Male",2016-01-11,NA,NA,"80660","Employee","Salary Grade Less 12","1047",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"169","60000371","Male",2016-01-25,NA,NA,"80640","Employee","Salary Grade Less 12","1047",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"170","60000372","Male",2016-01-25,NA,NA,"SW-6000","Employee","Salary Grade 12","1076",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"171","60000373","Male",2016-01-25,NA,NA,"70610","Employee","Hourly","1047",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"172","60000374","Male",2016-01-25,NA,NA,"161167","Employee","Nonexempt","1011",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"173","60000375","Male",2004-10-01,NA,NA,"222-4000","Inpatriate","Salary Grade 12","1093",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"174","60000379","Male",2016-01-25,NA,NA,"80670","Employee","Hourly","1047",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"175","60000380","Male",2016-01-25,NA,NA,"70610","Employee","Salary Grade Less 12","1047",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"176","60000382","Male",2016-11-07,NA,NA,"1862177","Employee","Hourly","1006",NA,TRUE,TRUE,TRUE,NA,NA,NA,NA
"177","60000386","Female",2010-09-07,NA,NA,"12900","Employee","Executive","1002",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"178","60000391","Female",2016-07-28,NA,NA,"54-4362","Employee","Hourly","1015",NA,TRUE,TRUE,TRUE,NA,NA,NA,NA
"179","60000396","Female",2016-06-23,NA,NA,"54-1202","Employee","Hourly","1015",NA,TRUE,TRUE,TRUE,NA,NA,NA,NA
"180","60000417","Male",2016-01-29,NA,NA,"214-K073","Employee","Hourly","1023",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"181","60000418","Male",2016-02-01,NA,NA,"200-5006","Employee","Salary Grade Less 12","1016",NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
"182","60000420","Male",2016-08-29,NA,NA,"1862177","Employee","Hourly","1006",NA,TRUE,TRUE,TRUE,NA,NA,NA,NA
